M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20
C	C	C	E	A	E	B	B	D	D	D	C	E	D	E	D	A	C	C	D
C	E	C	D	D	A	E	C	E	D	A	A	E	B	E	D	C	E	B	C
E	D	C	D	A	B	E	E	A	D	A	A	E	B	D	D	D	C	C	C
A	D	C	D	B	B	E	C	C	D	A	A	E	B	E	D	C	A	C	C
A	D	C	D	A	A	E	C	C	E	A	A	E	B	E	D	E	C	C	C
C	D	C	C	A	E	E	E	C	C	A	A	E	B	C	D	D	C	C	C
A	D	C	D	A	A	E	A	E	C	A	A	E	B	E	D	D	C	E	C
C	E	C	E	A	E	E	B	C	D	C	A	E	B	E	D	D	C	B	C
A	D	C	E	A	A	A	D	E	D	E	A	C	E	E	D	C	D	D	C
A	C	E	C	E	A	B	E	D	D	A	E	E	C	D	C	E	C	C	C
E	E	C	D	A	A	A	E	C	D	D	C	E	E	E	D	B	C	C	B
A	D	C	E	A	A	E	E	E	B	A	B	E	B	E	D	B	E	C	C
D	E	C	D	A	A	E	E	E	C	A	A	C	B	E	D	C	E	D	C
D	B	C	D	A	B	C	E	C	D	B	A	E	B	C	A	A	D	C	C
A	D	C	D	A	E	E	C	C	D	A	A	E	B	E	D	D	C	C	C
E	C	C	E	E	E	C	C	D	E	B	A	E	E	A	B	D	C	D	B
E	C	C	D	A	D	C	C	D	D	D	B	E	C	D	A	C	E	C	C
D	E	C	E	C	A	C	C	E	C	D	A	C	E	D	B	C	E	C	C
A	D	C	D	A	A	E	E	C	D	A	A	E	B	E	D	B	C	A	C
A	C	C	D	A	A	E	D	C	E	A	A	E	B	E	D	D	C	E	C
A	D	C	D	A	A	E	E	B	E	A	A	E	B	E	D	D	C	C	C
C	A	E	D	C	D	E	E	E	D	A	A	E	B	E	C	D	C	C	C
E	C	A	E	A	D	E	E	C	E	E	E	D	D	D	D	C	E	D	C
B	D	C	D	A	A	E	D	C	D	A	A	E	E	A	D	D	C	C	C
A	D	C	D	A	A	E	C	C	B	D	A	C	B	D	D	D	C	E	A
D	C	C	E	A	A	E	B	D	A	E	A	D	C	D	C	C	D	D	C
B	D	C	D	A	D	E	C	E	D	A	A	E	E	E	D	E	E	C	D
A	D	C	C	A	A	E	D	C	D	A	A	E	B	E	D	D	C	C	E
E	D	C	B	A	A	E	E	D	D	A	A	E	B	D	E	D	D	C	D
A	C	C	B	A	E	E	D	C	A	A	A	E	B	E	D	D	C	C	C
A	C	C	D	D	E	E	C	C	E	A	A	E	B	A	D	D	C	B	C
E	D	C	D	A	A	E	C	D	C	E	A	C	E	C	D	D	E	C	C
A	E	A	E	A	A	D	B	B	E	A	C	E	D	C	E	E	B	C	C
A	E	D	C	D	D	D	A	D	D	D	A	C	D	E	D	D	E	C	A
E	B	D	C	E	D	D	E	D	B	A	C	C	B	D	C	E	B	E	C
A	A	C	D	A	A	E	C	C	E	A	A	E	D	E	D	D	C	C	C
E	E	A	B	E	A	D	D	C	C	A	A	D	B	D	D	D	B	C	D
A	E	D	E	A	A	C	B	C	C	E	A	E	B	C	E	D	D	C	C
C	B	C	C	D	E	C	C	E	E	A	D	C	E	C	D	D	B	C	A
A	D	C	D	A	A	E	C	C	D	A	A	E	B	D	D	D	C	C	C
A	D	C	E	A	E	E	D	C	D	A	A	E	B	E	D	C	C	C	C
A	D	C	E	B	D	E	E	D	B	D	A	E	B	C	D	C	C	D	C
A	D	C	D	C	C	E	B	C	D	E	A	E	A	E	D	C	E	E	D
A	E	B	D	A	E	A	B	B	A	D	A	E	E	C	B	E	D	E	E
A	D	C	D	A	A	D	C	C	A	A	D	E	B	E	D	D	D	C	C
A	E	C	E	C	A	C	D	A	E	D	A	E	B	E	D	D	C	C	C
A	D	C	D	A	A	E	C	E	D	A	A	E	B	E	D	D	D	D	C
A	D	C	C	A	A	E	A	E	D	B	A	E	B	C	B	D	E	C	D
A	C	C	E	E	E	E	A	A	D	C	A	D	D	E	D	D	D	C	E
A	D	C	D	D	D	B	C	E	D	A	D	D	B	E	D	D	C	C	C
A	D	C	C	A	A	E	D	C	C	A	D	E	C	E	D	D	C	C	C
A	A	A	C	A	D	B	E	D	B	E	D	A	E	D	D	C	D	B	E
E	B	C	C	A	A	E	C	C	D	A	A	E	B	E	D	D	E	C	C
A	C	C	E	A	A	E	A	C	D	E	A	B	B	E	C	D	E	C	C
D	B	A	D	A	A	A	C	C	C	D	A	E	E	E	E	C	B	C	E
E	C	C	C	A	B	C	D	C	E	A	A	E	C	E	D	D	C	A	A
A	E	C	D	A	D	E	D	D	C	C	B	E	E	C	D	D	C	C	C
B	E	C	C	E	A	D	E	D	C	D	E	E	E	B	D	E	D	E	C
A	D	C	D	A	E	E	C	E	D	A	A	E	B	E	D	D	C	C	D
B	E	E	D	A	E	E	E	E	D	A	A	E	E	E	D	D	E	C	C
A	E	C	D	E	D	E	E	E	D	A	A	E	E	E	A	D	C	C	C
B	E	C	E	C	E	B	C	C	B	A	A	E	B	E	B	D	C	C	C
A	D	C	D	A	A	E	C	C	C	A	A	E	E	D	D	C	C	B	C
A	D	D	D	A	A	E	D	C	D	A	A	E	B	B	D	D	D	C	C
A	D	C	D	A	A	E	D	C	C	A	A	E	B	E	D	D	C	C	C
A	C	C	D	A	E	E	E	E	C	A	C	E	B	E	D	D	D	C	C
C	C	C	B	A	A	C	D	D	E	A	A	E	E	B	E	C	E	C	C
A	D	C	E	A	D	E	C	E	D	A	A	E	B	C	D	D	E	D	A
A	D	C	E	A	A	E	E	E	D	A	A	E	B	E	D	D	C	C	D
A	C	C	D	B	A	C	B	C	D	A	A	E	B	E	D	D	D	B	C
A	C	C	C	A	A	C	D	D	D	E	A	E	E	D	D	C	C	E	C
A	D	C	E	A	C	E	E	C	C	A	A	E	B	D	C	D	C	C	C
D	D	B	C	A	E	C	D	D	D	A	A	C	E	E	D	C	A	C	C
B	D	C	D	A	B	E	B	C	D	A	A	E	B	E	D	C	C	C	C
A	D	E	C	B	A	E	C	D	A	A	A	E	C	E	E	D	C	D	C
A	D	C	D	D	D	E	C	E	D	A	A	E	E	E	D	D	D	C	C
A	D	C	D	A	A	E	C	C	D	A	A	E	B	E	D	C	D	C	C
A	B	C	D	A	A	E	C	D	E	A	A	E	B	E	D	E	D	C	C
A	D	C	C	A	A	E	C	A	D	A	A	E	B	D	A	C	E	C	C
D	E	B	D	E	D	C	C	C	E	D	A	C	D	C	C	E	C	C	C
E	C	E	A	A	E	E	B	E	C	A	B	E	D	C	D	C	D	E	C
A	D	C	D	A	A	D	C	D	D	A	A	A	B	E	B	C	C	C	C
A	D	C	B	A	D	D	E	D	C	B	C	A	D	D	A	D	D	A	E
E	B	C	D	A	E	C	C	C	C	D	A	E	B	E	E	D	E	C	C
A	D	C	D	A	A	E	E	B	D	B	A	E	B	C	D	D	C	C	C
A	B	C	B	A	A	D	C	D	E	A	E	A	E	C	D	D	B	D	C
E	E	E	C	A	B	A	D	C	E	A	A	E	B	C	D	E	C	E	D
A	D	C	D	A	A	E	A	E	C	A	A	E	B	E	D	C	C	C	C
A	D	C	B	A	A	E	C	E	D	A	A	E	B	E	A	D	D	C	C
A	D	C	A	A	A	B	E	C	C	A	E	E	C	C	C	C	C	C	E
E	D	C	D	A	A	D	C	C	D	A	A	E	B	E	D	D	C	C	C
E	D	C	D	A	A	E	C	C	D	E	A	E	B	E	B	D	A	C	C
A	D	C	D	A	A	B	C	C	E	D	A	E	B	E	D	E	C	C	C
D	D	C	E	A	A	C	C	C	B	B	A	E	D	D	D	E	C	C	C
A	D	B	D	A	D	E	C	C	E	A	A	E	B	D	D	C	D	C	C
E	D	C	C	A	A	E	D	D	D	E	D	E	B	A	E	C	C	C	D
A	D	C	D	A	A	C	C	C	E	A	E	E	E	E	D	D	C	C	C
A	D	C	D	A	A	D	C	C	D	A	A	E	B	E	D	A	D	C	C
A	D	C	D	A	A	E	B	C	D	D	A	E	A	E	D	D	C	C	C
A	D	C	C	A	A	E	C	C	E	A	A	E	B	E	D	D	E	C	C
A	D	C	D	C	A	E	C	C	D	A	A	C	B	E	D	C	D	C	C
A	D	B	B	A	C	E	D	C	B	A	A	E	C	D	D	D	E	C	C
A	D	B	D	A	A	E	C	E	D	A	A	E	B	E	D	D	C	C	C
A	C	C	D	A	A	E	C	C	E	A	A	E	B	E	D	D	C	C	C
E	E	E	C	A	A	B	D	C	D	D	E	E	C	C	A	E	B	A	D
A	D	C	D	A	A	E	C	C	C	A	A	E	B	E	D	B	C	C	C
A	E	D	D	A	A	D	C	B	C	A	A	E	E	D	E	D	E	C	C
D	E	C	B	E	A	D	C	E	D	E	A	E	B	E	C	E	C	C	C
A	E	B	D	E	A	E	E	E	E	A	A	E	E	E	D	E	C	D	C
A	A	C	D	A	A	E	C	B	C	A	D	D	E	E	D	E	E	C	C
A	E	C	D	C	A	C	C	B	E	A	A	C	D	C	E	C	C	C	C
A	A	C	E	A	A	E	E	D	E	D	D	D	B	C	D	E	D	D	C
D	A	C	C	A	C	E	C	E	D	C	D	E	B	C	D	D	C	C	C
A	E	C	D	A	A	E	E	C	E	D	A	E	D	E	D	E	E	A	E
A	A	C	D	A	A	E	C	D	D	A	A	E	B	C	D	D	C	B	C
D	C	C	D	A	E	D	C	C	A	A	A	E	D	E	D	E	E	C	C
