HEDRES	CULTPOS	WEALTH	PARED	HISEI
-0.74	0.33	-0.20	0.53	-1.30
-0.45	-1.58	-0.68	-1.25	-0.26
-1.47	-1.58	-0.18	-1.25	0.31
-0.76	0.59	-1.55	-1.25	-1.30
-0.39	0.41	-0.63	1.43	-1.30
-0.39	0.33	-1.00	-1.25	0.04
-0.32	-1.58	0.10	-1.25	-1.30
-0.44	-1.58	-0.49	-0.36	-0.53
-1.40	-1.58	-3.23	-1.48	0.04
-1.06	-1.58	-0.57	0.53	1.56
-0.74	-0.19	-1.63	-1.48	0.04
-0.76	-0.19	-1.39	-1.25	-0.58
-0.78	-0.19	-1.53	-1.25	-0.64
1.57	-0.17	-0.68	-0.36	0.04
0.57	0.14	-0.53	-1.48	0.04
-1.82	-1.58	-1.08	1.43	-0.42
-1.04	-0.24	-1.36	0.53	0.04
-1.37	-1.25	-0.76	-1.25	-0.42
-0.74	0.14	-0.33	-1.25	-0.04
-1.60	-0.15	-0.78	0.53	1.12
-1.04	-1.11	-0.50	-0.36	-1.30
-0.10	0.31	1.14	-1.25	-1.30
1.57	0.78	0.74	1.43	2.22
-0.10	-0.84	-0.11	-1.25	-0.26
1.57	1.06	0.74	1.43	2.55
0.45	0.14	0.23	-1.25	0.04
0.41	1.06	0.03	0.98	-0.42
0.03	0.03	0.26	0.98	0.04
0.60	-0.28	-0.40	0.98	1.56
0.72	-0.19	-0.53	-0.36	-0.58
-0.99	-1.58	-0.83	-0.36	0.04
-0.10	-1.58	0.01	0.53	0.29
0.45	-0.19	0.22	-1.25	-1.13
1.57	1.06	0.88	-0.36	2.27
-0.10	-1.58	-0.55	0.98	-0.31
-0.10	-1.58	-0.28	0.53	0.04
-1.37	-1.58	-0.81	-1.25	0.04
-0.10	0.33	0.31	0.53	0.04
-0.39	-0.24	-0.91	1.43	-0.80
0.45	0.78	0.91	0.53	1.94
-0.10	1.57	1.12	0.53	2.27
-0.39	0.03	-0.43	0.53	-0.31
1.57	2.89	1.15	0.98	-0.31
0.57	0.78	0.38	-0.36	-0.31
1.57	-1.11	1.11	-0.36	-0.47
-0.39	-1.58	0.92	0.53	1.61
1.57	1.06	1.58	0.53	1.34
1.14	0.34	1.04	-0.36	1.28
0.57	-1.11	0.06	0.53	-0.42
-0.44	0.33	0.79	0.53	-0.64
0.57	0.50	-0.86	0.53	-0.26
1.57	0.12	0.92	0.98	0.04
-0.39	0.33	0.92	0.98	-1.30
-1.82	-1.58	-0.97	0.98	-0.69
-1.37	-1.58	-0.63	-1.25	-1.02
-0.10	0.67	0.09	0.98	2.00
-1.51	0.08	-1.00	-1.25	-0.53
-0.43	0.14	0.10	-0.36	-1.08
-0.39	-0.24	-1.35	-1.48	-0.64
-1.04	-0.19	-3.23	0.98	2.00
-0.74	0.08	-0.18	-0.36	1.83
-1.06	-0.49	0.00	1.43	-0.04
-1.04	-0.19	-0.59	-1.48	-1.30
0.57	0.33	-0.73	-1.25	0.04
-1.04	-0.24	-1.18	-0.36	-0.26
-0.74	-1.58	-0.67	-1.25	-0.31
-0.74	-0.24	0.31	-1.25	-1.30
0.03	-1.58	-0.17	1.43	2.00
-0.10	-1.58	0.12	-0.36	-0.26
0.34	0.03	0.55	0.98	-0.31
-1.82	-1.58	-1.66	-1.25	-1.30
-0.39	0.10	0.06	-0.36	-0.53
1.54	0.10	0.86	1.43	1.67
0.45	-1.58	0.04	-0.36	-1.30
-1.50	-0.24	-0.65	-0.36	-1.30
-0.63	-1.58	-0.72	1.43	-1.30
-0.39	-1.58	0.30	0.98	-0.04
-2.20	0.33	-0.97	-1.25	-1.30
-0.39	-1.58	-0.24	-0.36	-0.47
-0.99	-1.58	-1.75	-0.36	-1.30
0.57	1.26	-0.56	-1.25	-0.31
-0.01	0.03	0.25	-1.25	0.04
-1.51	-0.19	0.18	-1.25	-0.53
1.57	0.78	1.08	-0.36	-0.47
-0.57	0.35	-0.08	-1.25	-0.26
-0.10	-0.05	-0.73	-0.36	-0.42
